iter	Passed	Remaining
0	25	2495
1	41	2039
2	54	1767
3	79	1897
4	121	2301
5	144	2263
6	163	2168
7	182	2093
8	242	2453
9	273	2465
10	294	2379
11	321	2354
12	341	2285
13	383	2357
14	402	2278
15	449	2360
16	467	2280
17	487	2220
18	501	2138
19	516	2065
20	528	1986
21	555	1969
22	574	1922
23	606	1921
24	622	1867
25	650	1851
26	669	1809
27	681	1752
28	694	1700
29	707	1650
30	721	1606
31	735	1563
32	773	1570
33	789	1533
34	822	1528
35	838	1490
36	857	1460
37	926	1511
38	945	1478
39	962	1443
40	1013	1458
41	1026	1417
42	1037	1375
43	1049	1336
44	1061	1297
45	1074	1261
46	1086	1225
47	1100	1191
48	1111	1156
49	1121	1121
50	1133	1089
51	1146	1058
52	1160	1028
53	1170	997
54	1182	967
55	1194	938
56	1205	909
57	1256	909
58	1280	889
59	1295	863
60	1307	836
61	1321	809
62	1334	783
63	1346	757
64	1357	730
65	1370	705
66	1387	683
67	1403	660
68	1415	636
69	1426	611
70	1437	587
71	1448	563
72	1459	539
73	1485	521
74	1496	498
75	1507	476
76	1518	453
77	1529	431
78	1540	409
79	1551	387
80	1565	367
81	1580	346
82	1597	327
83	1611	306
84	1626	287
85	1651	268
86	1668	249
87	1691	230
88	1706	210
89	1719	191
90	1738	171
91	1752	152
92	1793	135
93	1821	116
94	1848	97
95	1863	77
96	1880	58
97	1892	38
98	1927	19
99	1963	0
