iter	Passed	Remaining
0	166	16510
1	222	10906
2	242	7854
3	270	6480
4	290	5515
5	308	4834
6	332	4413
7	358	4125
8	380	3844
9	417	3759
10	447	3620
11	475	3486
12	496	3323
13	516	3172
14	535	3032
15	562	2951
16	578	2825
17	597	2722
18	619	2640
19	629	2517
20	640	2409
21	650	2306
22	660	2212
23	674	2135
24	687	2062
25	696	1982
26	705	1908
27	716	1841
28	725	1775
29	734	1714
30	745	1658
31	755	1604
32	764	1553
33	775	1504
34	785	1458
35	795	1413
36	804	1370
37	814	1328
38	824	1288
39	833	1250
40	843	1214
41	853	1178
42	862	1143
43	871	1109
44	881	1077
45	890	1045
46	899	1014
47	909	985
48	919	956
49	928	928
50	944	907
51	956	883
52	968	858
53	977	833
54	987	807
55	997	783
56	1007	760
57	1017	736
58	1027	714
59	1036	691
60	1045	668
61	1055	646
62	1064	625
63	1073	604
64	1083	583
65	1094	563
66	1103	543
67	1112	523
68	1121	503
69	1129	484
70	1138	465
71	1147	446
72	1156	427
73	1165	409
74	1175	391
75	1183	373
76	1192	356
77	1202	339
78	1210	321
79	1219	304
80	1228	288
81	1237	271
82	1247	255
83	1256	239
84	1266	223
85	1276	207
86	1287	192
87	1299	177
88	1310	161
89	1321	146
90	1330	131
91	1339	116
92	1349	101
93	1359	86
94	1370	72
95	1380	57
96	1389	42
97	1401	28
98	1411	14
99	1421	0
